,titles,subtitles,links
0,READY TO BOE,Boehly has dinner with Barca chief Laporta as he tries to hijack De Jong deal,https://www.thesun.co.uk/sport/football/19128845/todd-boehly-chelsea-man-utd-frenkie-de-jong-transfer/
1,RAP IT UP,Marsch admits Raphinha WON'T commit to pre-season tour as Chelsea lead race,https://www.thesun.co.uk/sport/football/19130681/leeds-raphinha-pre-season-tour-chelsea-transfer/
2,WRIGHT FRIGHT,Arsenal icon Wright admits he's 'jealous and frightened' of Tottenham's squad,https://www.thesun.co.uk/sport/football/19126917/arsenal-ian-wright-tottenham-squad-transfers/
3,ED'S UP ON MOVE,Arsenal 'make official Zhegrova offer' as Arteta eyes Lille's Kosovo winger,https://www.thesun.co.uk/sport/football/19126904/arsenal-edon-zhegrova-transfer-offer-lille/
4,COME ON DOWNES,West Ham beat Palace to complete £12m transfer for Swansea midfielder Downes,https://www.thesun.co.uk/sport/football/19127252/west-ham-transfer-swansea-flynn-downes-crystal-palace/
5,STERS COLLIDE,Raheem Sterling vs Gabriel Jesus tale of the tape: How £45m stars compare after Chelsea and Arsenal transfers,https://www.thesun.co.uk/sport/football/19122362/raheem-sterling-vs-gabriel-jesus-man-city-chelse-arsenal/
6,STERLING JOB,City let Sterling quit but only Messi had more goal contributions for Pep,https://www.thesun.co.uk/sport/football/19128763/man-city-raheem-sterling-chelsea-transfer-messi-guardiola/
7,LU-TURN,Prem clubs on red alert as Suarez move to River Plate collapses after their Copa KO,https://www.thesun.co.uk/sport/football/19125342/luis-suarez-river-plate-snub-premier-league-transfer-alert/
8,BRU NUMBER,Fernandes gets new shirt number at Man Utd - and he already has a tattoo of it,https://www.thesun.co.uk/sport/football/19128372/bruno-fernandes-new-shirt-number-man-utd-tattoo/
9,THE BEER'S OFF,England and Wales fans BANNED from drinking alcohol at Qatar World Cup games,https://www.thesun.co.uk/sport/football/19127676/england-fans-world-cup-alcohol-ban-qatar-wales/
10,WINNER WINNER,Win a Mercedes C63s AMG or £37k cash alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18918779/win-mercedes-7days-performance/
11,MAKE WAVES,Inside football's most outrageous superyachts - Ronaldo’s £5.5m 6-bathroom boat to £1m-a-WEEK beast rented by A-listers,https://www.thesun.co.uk/sport/19121721/football-superyachts-ronaldo-boat/
12,HAAL TO HALL,How Dortmund have replaced £51m Haaland with EIGHT transfers for just £77m,https://www.thesun.co.uk/sport/19122252/borussia-dortmund-transfers-sebastien-haller-erling-haaland/
13,MIRACLE WORKER,Jesus opens up on move and admits he wants to ‘win everything’ at Arsenal,https://www.thesun.co.uk/sport/football/19126114/gabriel-jesus-arsenal-new-club/
14,WILL DEAL,Forest closing in on Liverpool and Wales defender Williams after £17m fee agreed,https://www.thesun.co.uk/sport/football/19124972/nottingham-forest-liverpool-wales-neco-williams-transfer/
15,RON DOOR CLOSES..,Ronaldo absence 'opens door' for Man Utd kid to travel on pre-season tour,https://www.thesun.co.uk/sport/football/19124556/cristiano-ronaldo-man-utd-tour/
16,GO-ING NOWHERE,Joe Gomez signs new Liverpool after Jurgen Klopp intervenes to keep defender,https://www.thesun.co.uk/sport/football/19125663/joe-gomez-liverpool-contract-klopp/
17,IN HIS PRIME,Raheem Sterling goes zip lining in Jamaica and meets country's Prime Minister,https://www.thesun.co.uk/sport/football/19119296/raheem-sterling-jamaica-prime-minister-transfer/
18,PERFECT PRES-ENT,Tuchel 'pushing' for Chelsea to make move for £51m PSG defender Kimpembe,https://www.thesun.co.uk/sport/football/19122668/chelsea-presnel-kimpembe-transfer-psg-bid/
19,LUI BEAUTY,Leeds secure Raphinha replacement as Feyenoord star Luis Sinisterra signs,https://www.thesun.co.uk/sport/19122182/leeds-transfer-feyenoord-luis-sinisterra/
20,LUK'S RUN OUT,Fuming Chelsea fans saying the same thing as Lukaku shares cryptic Insta post,https://www.thesun.co.uk/sport/19118988/romelu-lukaku-chelsea-fans-instagram/
21,SILVA LINING,Wolves £35m flop Silva set for Anderlecht loan move after Prem struggles,https://www.thesun.co.uk/sport/19126430/wolves-flop-silva-loan-transfer-anderlecht/
22,GUNNERS LATEST,"£72m Pepe one of SEVEN Arsenal players up for sale, £22m Asensio LATEST",https://www.thesun.co.uk/sport/19098994/arsenal-transfer-news-live-tielemans-lisandro-martinez-asensio/
23,BLUES LATEST,"Nathan Ake in advanced talks, Raheem Sterling personal terms agreed",https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-ake-raheem-sterling-sergino-dest/
24,UNITED LATEST,"Ronaldo WON'T be on pre-season tour, Frenkie de Jong LATEST, Antony bid",https://www.thesun.co.uk/sport/football/19072018/man-utd-transfer-news-live-cristiano-ronaldo-latest-frenkie-de-jong-antony/
25,WISSUP?,Man Utd line up French ace Wissam Ben Yedder as they accept Ronaldo's off,https://www.thesun.co.uk/sport/19119367/man-utd-cristiano-ronaldo-replacement-wissam-ben-yedder/
26,MATT-ER OF TIME,Arsenal star Matt Smith wanted by host of Championship sides in summer move,https://www.thesun.co.uk/sport/football/19118507/arsenal-matt-smith-championship-millwall-luton-transfer/
27,SPECIAL RON,Chelsea 'preparing £14m Ronaldo bid' as Man Utd accept they will lose star,https://www.thesun.co.uk/sport/19118104/cristiano-ronaldo-transfer-chelsea-man-utd/
28,TIE THE KNOT,Arsenal to offer £30m for Youri Tielemans to fight off interest from Man Utd,https://www.thesun.co.uk/sport/19110612/arsenal-prepare-30million-tielemans-transfer-offer/
29,NO NEY NEVER,Messi & Mbappe ‘disagree’ over Neymar future with France ace ‘wanting him out',https://www.thesun.co.uk/sport/19120535/psg-lionel-messi-kylian-mbappe-neymar-transfer/
30,OD CHOICE,Newcastle turn to Chelsea outcast Hudson-Odoi as Everton reject £35m Gordon move,https://www.thesun.co.uk/sport/football/19115332/newcastle-transfer-chelsea-hudson-odoi-everton-gordon/
31,JONG DECISION,Chelsea 'want to hijack Frenkie de Jong transfer & reunite star with De Ligt',https://www.thesun.co.uk/sport/football/19121870/chelsea-man-utd-frenkie-de-jong-transfer/
32,"CTRL, ALT, DE LIGT",De Ligt 'CANCELS Chelsea transfer talks to push through Bayern move',https://www.thesun.co.uk/sport/19119172/de-ligt-cancels-chelsea-transfer-talks/
33,WAGE WAR,Maguire 'likes' Instagram post about Ronaldo being upset over Man Utd pay cut,https://www.thesun.co.uk/sport/19107499/harry-maguire-likes-post-cristiano-ronaldo-man-utd-transfer/
34,FUL STEAM AHEAD,Arsenal goalkeeper Leno 'close' to exit as Fulham look to tie up deal,https://www.thesun.co.uk/sport/19117558/bernd-leno-transfer-fulham-arsenal/
35,GIFT OF THE GAB,How Arsenal could line up in friendly vs Nurnberg with Jesus set for debut,https://www.thesun.co.uk/sport/19122644/arsenal-starting-line-up-friendly-nurnberg-gabriel-jesus/
36,RED REUNION,Man Utd ‘launch £51m bid for Antony but Ajax set to REJECT Ten Hag's offer',https://www.thesun.co.uk/sport/football/19117390/man-utd-antony-ajax-bid-rejected/
37,REECE IS THE WORD,Chelsea to open talks with James amid Man City and Real Madrid interest,https://www.thesun.co.uk/sport/football/19124169/chelsea-reece-james-transfer-man-city-real-madrid/
38,WAGE WAR,De Jong’s Man Utd move ‘delayed’ as Barca demand they pay '£24m in unpaid wages’,https://www.thesun.co.uk/sport/19120181/man-utd-transfer-news-de-jong-wages/
39,ON THE ROB,Barcelona ‘waiting on a Bayern response’ after making £34m Lewandowski bid,https://www.thesun.co.uk/sport/19124761/barcelona-transfer-bid-robert-lewandowski-joan-laporta/
40,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
41,FREE BETS,Norway vs Northern Ireland: Get £20 in FREE BETS on Euro 2022 with LiveScore Bet,https://www.thesun.co.uk/sport/betting-tips/17106375/womens-euro-2022-livescore-betting-odds-free-bets-bonus/
42,CASH BACK,Euro 2022: Get Money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/euro-2022-womens-paddy-power-free-bets-football-bonus/
43,NORWAY 4 NORTHERN IRELAND 1,Shiels' aces beaten as WSL stars net during Hegerberg's return,https://www.thesun.co.uk/sport/19129376/norway-northern-ireland-womens-euros/
44,SCOTTGATE,Alex Scott channels Southgate with waistcoat as she cheers on Lionesses in Euros,https://www.thesun.co.uk/sport/19128933/sports-alex-scott-gareth-southgate-lionesses/
