,titles,subtitles,links
0,PUSHED TO THE LIMIT,Inside Man Utd training as stars forced to do push-ups after conceding,https://www.thesun.co.uk/sport/football/19169182/man-utd-training-ten-hag/
1,LORD AL-WRIGHTY,Ian Wright blasts Lord Sugar in row over BBC punditry at Women's Euros,https://www.thesun.co.uk/sport/football/19168827/ian-wright-lord-sugar-bbc-euros/
2,NAN DOWN UNDER,"Man Utd hero Nani, 35, completes transfer to Melbourne Victory in A-League",https://www.thesun.co.uk/sport/19169587/man-utd-nani-melbourne-victory-transfer/
3,ROO BOOM,"Rooney will have it easy at DC United compared to Derby nightmare, says Neville",https://www.thesun.co.uk/sport/19166168/wayne-rooney-dc-united-derby-nightmare-phil-neville/
4,BET BOOST,Man Utd vs Liverpool - free bets: Get £30 in FREE BETS on football today,https://www.thesun.co.uk/sport/betting-tips/15950527/william-hill-free-bets-new-offer-man-utd-liverpool/
5,'CAN'T WAIT',Arsenal fans in meltdown as Saliba is pictured at training ground after return,https://www.thesun.co.uk/sport/football/19162940/arsenal-fans-william-saliba-return-marseille/
6,KAI FLIER,Rooney's son Kai signs deal with Puma aged 12 ahead of dad's DC United move,https://www.thesun.co.uk/sport/19169840/wayne-rooney-son-kai-puma-man-utd-dc-united/
7,WALE OF A TIME,Gareth Bale targets Euro 2024 and World Cup 2026 in official LAFC unveiling,https://www.thesun.co.uk/sport/football/19167468/gareth-bale-lafc-targets-world-cup-euros/
8,GOOD KAL,Man Utd hold talks over Kalajdzic but joined by three other Premier League clubs,https://www.thesun.co.uk/sport/19170010/manchester-united-sasa-kalajdzic-premier-league-stuttgart/
9,WINNER WINNER,"Win a VW Transporter or £47,500 cash from just 89p with Sun discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-vw-transporter-7days-performance/
10,HIT THE BAR,Man Utd chiefs spotted in Barcelona to try to get De Jong deal over the line,https://www.thesun.co.uk/sport/19163073/man-utd-transfer-frenkie-de-jong-barcelona/
11,KAL TO ARMS,Chelsea 'meet with Kalidou Koulibaly's agent' as possible De Ligt alternative,https://www.thesun.co.uk/sport/football/19168828/chelsea-napoli-kalidou-koulibaly-agent-de-ligt/
12,MOVING EAST,Ex-Arsenal star David Ospina joins Saudi Arabian side Al Nassr on free transfer,https://www.thesun.co.uk/sport/football/19170397/arsenal-david-ospina-al-nassr-transfer/
13,HAAL THE SAME,Chelsea keeper Mendy reveals why Haaland and Benteke are no different to him,https://www.thesun.co.uk/sport/19171061/chelsea-keeper-edouard-mendy-compares-haaland-to-benteke/
14,EL' & BACK,"Elneny 'will coach Arsenal' when he retires as he is loved at the club, says dad",https://www.thesun.co.uk/sport/19170417/mohamed-elneny-will-coach-arsenal-says-dad/
15,COME ON YOU SPEWS,Kane THROWS UP and Son struggles to stand after Conte's brutal training,https://www.thesun.co.uk/sport/football/19161447/harry-kane-throws-up-video-son-conte-tottenham-training/
16,DE-NIED,Depay ready to snub Tottenham transfer as Barcelona star 'not tempted' by Spurs,https://www.thesun.co.uk/sport/19169851/memphis-depay-not-tempted-spurs-transfer/
17,JACK'S BACK,"Arsenal confirm return of club legend Jack Wilshere, aged 30, as U18 coach",https://www.thesun.co.uk/sport/19164518/arsenal-jack-wilshere-u18-coach/
18,PLAY AS YOU TRAIN,Erik ten Hag hints at Man Utd line-up against Liverpool in training drill,https://www.thesun.co.uk/sport/football/19168595/erik-ten-hag-man-utd-liverpool-2/
19,RACING BONUS,Horse racing free bets: Bet £10 today & get £30 bonus with Spreadex,https://www.thesun.co.uk/sport/betting-tips/19163055/spreadex-new-customer-free-bets-horse-racing-bonus-offer/
20,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
21,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/sun-vegas-free-bets-no-deposit-offer/
22,CASH BACK,The Open: Get Money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/the-open-golf-2022-paddy-power-free-bets-offer/
23,STARS 'N STRIPES,Best MLS XI after Bale makes LAFC transfer including Chiellini and Insigne,https://www.thesun.co.uk/sport/football/19169917/mls-bale-lafc-transfer-chiellini-insigne-rooney/
24,CHEICK MATE,Crystal Palace confirm £21m Doucoure transfer after beating Arsenal to star,https://www.thesun.co.uk/sport/19163150/crystal-palace-confirm-doucoure-transfer-arsenal-lens/
25,NEZ IS MORE,Man Utd 'confident' about Lisandro Martinez transfer & set for talks with Ajax,https://www.thesun.co.uk/sport/football/19169807/man-utd-lisandro-martinez-transfer-ajax/
26,PAUL DONE,Juventus re-sign Pogba on free transfer from Man Utd for SECOND time,https://www.thesun.co.uk/sport/football/19158562/juventus-paul-pogba-transfer-man-utd-wages/
27,THAT'S RICH,Cristiano Ronaldo 'impressed by Richard Arnold's handling of transfer request',https://www.thesun.co.uk/sport/football/19168505/cristiano-ronaldo-richard-arnold-transfer/
28,SERGE AND DESTROY,Chelsea join Man Utd in Gnabry race plus 'target £100m Milan winger Leao',https://www.thesun.co.uk/sport/football/19168490/chelsea-man-utd-serge-gnabry-bayern-arsenal/
29,MAJOR COUP,Bale breaks silence on Rooney's DC United job as Man Utd legend joins him in MLS,https://www.thesun.co.uk/sport/19168737/gareth-bale-breaks-silence-on-wayne-rooney-mls/
30,FUL THROTTLE,Fulham sign Andreas Pereira from Man Utd in £13m transfer,https://www.thesun.co.uk/sport/football/19166549/fulham-sign-man-utd-andreas-pereira/
31,OVER TO ROO,How DC United could line up under Rooney with Jesse Lingard and Ravel Morrison,https://www.thesun.co.uk/sport/football/19159405/dc-united-possible-line-up-rooney-lingard-morrison/
32,N'GO FOR IT,How Arsenal could line up with Kante as they plan transfer for Chelsea ace,https://www.thesun.co.uk/sport/football/19163774/arsenal-kante-transfer-chelsea/
33,POG BACK,Pogba and Lukaku among 10 best paid players in Serie A but behind Man Utd flop,https://www.thesun.co.uk/sport/football/19151963/paul-pogba-romelu-lukaku-serie-a-top-earners/
34,CRUNCH TALKS,Ten Hag breaks silence on Ronaldo missing Man Utd pre-season tour,https://www.thesun.co.uk/sport/19158797/man-utd-transfer-news-ronaldo-ten-hag-talks/
